987,winter,冬
988,number,數字
989,age,年齡
990,add,(v) 加
991,zero,零
992,one,1
993,two,2
994,three,3
995,four,4
996,five,5
997,six,6
998,seven,7
999,eight,8
1000,nine,9
1001,ten,10
1002,eleven,11
1003,twelve,12
1004,thirteen,13
1005,fourteen,14
1006,fifteen,15
1007,sixteen,16
1008,seventeen,17
1009,eighteen,18
1010,nineteen,19
1011,twenty,20
1012,thirty,30
1013,forty,40
1014,fifty,50
1015,sixty,60
1016,seventy,70
1017,eighty,80
1018,ninety,90
1019,hundred,百
1020,thousand,千
1021,million,百萬
1022,several,幾個的
1023,watch,錶 / (v) 看
1024,clock,時鐘
1025,o'clock,點鐘
1026,half,一半
1027,quarter,四分之一 / 25 分錢(美元)
1028,dozen,一打
1029,early,早的
1030,late,遲的 / 最近的
1031,time,時間
1032,calendar,月曆 / 行事曆
1033,day,天
1034,date,(n) 日期 / (v) 約會
1035,today,今天
1036,tomorrow,明天
1037,yesterday,昨天
1038,morning,早上
1039,noon,中午
1040,afternoon,下午
1041,evening,傍晚
1042,night,夜晚
1043,tonight,今晚
1044,overnight,過夜
1045,weekend,周末
1046,week,週
1047,Monday,星期一
1048,Tuesday,星期二
1049,Wednesday,星期三
1050,Thursday,星期四
1051,Friday,星期五
1052,Saturday,星期六
1053,Sunday,星期天
1054,month,月份
1055,January,一月
1056,February,二月
1057,March,三月
1058,April,四月
1059,May,五月
1060,June,六月
1061,July,七月
1062,August,八月
1063,September,九月
1064,October,十月
1065,November,十一月
1066,December,十二月
1067,celebrate,(v) 慶祝
1068,holiday,假日
1069,festival,節慶 / 慶典
1070,Christmas,聖誕節
1071,vacation,假期
1072,first,第一
1073,second,第二 / 秒
1074,third,第三
1075,fourth,第四
1076,fifth,第五
1077,sixth,第六
1078,seventh,第七
1079,eighth,第八
1080,ninth,第九
1081,tenth,第十
1082,eleventh,第十一
1083,twelfth,第十二
1084,next,下一個的
1085,last,最後的 / 前一次 的
1086,another,另一個
1087,long,長度 長的
1088,centimeter,公分
1089,meter,公尺
1090,kilometer,公里
1091,weight,重量
1092,kilogram,公斤
1093,gram,公克
1094,year,年
1095,hour,小時
1096,ago,以前
1097,minute,分鐘 片刻
1098,beginning,(n) 開始
1099,end,盡頭 結局
1100,again,再一次 又
1101,this,這個
1102,that,那個
1103,these,這些
1104,those,那些
1105,all,全部的
1106,both,兩者都
1107,any,任何的
1108,some,一些
1109,anything,任何事
1110,anywhere,任何地方
1111,something,某件事
1112,somewhere,某處
1113,nothing,沒事
1114,nowhere,沒有任何地方
1115,everything,每件事
1116,everywhere,到處
1117,here,這裡
1118,there,那裡
1119,few,(adj) 少許 (+可數名詞)
1120,little,小的 少的 (+不可數名詞)
1121,a few,一些 (+可數名詞)
1122,a little,一些 (+不可數名詞)
1123,a lot,許多
1124,many,許多的 (+複數名詞)
1125,much,大量的 (+不複數名詞)
1126,very,非常
1127,more,更多的 (比較級)
1128,most,大部分 (最高級)
1129,up,往上
1130,down,往下
1131,around,環繞
1132,beside,在旁邊
1133,between,在之間
1134,in,裡面
1135,by,旁邊 / 藉由
1136,on,上面
1137,behind,後面
1138,under,下面
1139,over,跨越 / 結束
1140,through,穿越 / 藉由
1141,into,進入
1142,out,出來
1143,from,從
1144,about,關於
1145,across,對面
1146,near,附近
1147,far,遠的
1148,and,以及
1149,but,但是
1150,or,或者
1151,because,因為
1152,so,所以 / 如此地
1153,if,如果
1154,of,...的
1155,to,向(介係詞)
1156,for,為了(介係詞)
1157,with,用(介係詞)
1158,without,不用(介係詞)
1159,at,在
1160,before,之前
1161,after,之後
1162,who,誰
1163,when,何時(連接詞) 當...時
1164,where,哪裡
1165,what,什麼
1166,which,哪一個
1167,why,為什麼
1168,how,如何
1169,whose,誰的
1170,perhaps,或許
1171,maybe,或許
1172,may,可以 可能
1173,can,會 / 能做 (n) 罐頭
1174,will,將
1175,should,應該
1176,must,必須
1177,have to,必須
1178,almost,幾乎
1179,always,總是 (100%)
1180,usually,通常 (80%) 通常的
1181,often,常常 (60%)
1182,sometimes,有時候 (40%)
1183,seldom,不常 (20%)
1184,rarely,很少 (20%)
1185,never,從不 (0%)
1186,also,也
1187,too,太
1188,as,與 一樣
1189,soon,很快地 盡快
1190,ever,曾經
1191,now,現在
1192,then,然後
1193,than,比較
1194,except,除...之外
1195,since,自從
1196,finally,終於 
1197,final,最後的
1198,really,真正地
1199,until,直到
1200,till,直到
1201,still,仍然
1202,though,雖然
1203,alone,單獨的 / 獨自的
1204,together,一起
1205,only,(adj) 唯一的
1206,away,離開地
1207,hello,哈囉
1208,goodbye,再見
1209,a.m.,上午 (....)
1210,p.m.,下午 (....)
1211,Mr.,先生(縮寫)
1212,Mrs.,太太(縮寫)
1213,Miss,小姐(M...)
1214,MRT,台北捷運
1215,ROC,中華民國
1216,USA,美國
1217,bicycle,腳踏車
1218,bus,公車
1219,train,火車
1220,railway,鐵路(集合名詞)
1221,subway,地鐵 / 地下道
1222,boat,小船
1223,ship,輪船
1224,ferry,渡船
1225,canoe,獨木舟
1226,rocket,火箭
1227,jeep,吉普車
1228,truck,卡車
1229,taxi,計程車
1230,jet,噴射機
1231,airplane,飛機
1232,ride,騎乘
1233,a boat ride,一趟船
1234,sail,航行
1235,drive,駕駛(車)
